Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG%,3P%,FT%,MP,PTS,TRB,AST,RK,PLAYER,POS,HOMETOWN,HT,WT,STARS,GRADE,SCHOOL
1,CHI,Derrick Rose,Memphis,14,698,21653,12382,2279,3692,0.456,0.316,0.831,31,17.7,3.3,5.3,5,Derrick Rose,PG,"Chicago, ILSimeon Career Academy",6'4'',195,,98,Memphis
2,MIA,Michael Beasley,Kansas State,11,609,13903,7568,2861,788,0.465,0.349,0.759,22.8,12.4,4.7,1.3,8,Michael Beasley,PF,"Fitchburg, MANotre Dame Prep",6'9'',235,,98,Kansas St
3,MIN,O.J. Mayo,USC,8,547,16919,7574,1706,1607,0.429,0.373,0.82,30.9,13.8,3.1,2.9,3,O.J. Mayo,SG,"Huntington, WVHuntington High School",6'4'',195,,98,USC
5,MEM,Kevin Love,UCLA,15,846,25800,14619,8912,1988,0.44,0.372,0.829,30.5,17.3,10.5,2.3,1,Kevin Love,C,"Lake Oswego, ORLake Oswego High School",6'9'',255,,99,UCLA
7,LAC,Eric Gordon,Indiana,15,783,25268,12655,1878,2202,0.428,0.37,0.811,32.3,16.2,2.4,2.8,2,Eric Gordon,SG,"Indianapolis, INNorth Central High School",6'5'',205,,98,Indiana
11,IND,Jerryd Bayless,Arizona,11,586,12486,4909,1235,1674,0.411,0.361,0.818,21.3,8.4,2.1,2.9,39,Jerryd Bayless,SG,"Phoenix, AZSaint Mary's High School",6'3'',190,,97,Arizona
14,GSW,Anthony Randolph,LSU,6,252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7,29,Anthony Randolph,PF,"Dallas, TXWoodrow Wilson High School",6'10'',210,,97,LSU
21,NJN,Ryan Anderson,California,12,649,16769,8001,3413,586,0.422,0.38,0.854,25.8,12.3,5.3,0.9,93,Ryan Anderson,PF,"Long Beach, CALong Beach Polytechnic High School",6'8'',215,four,92,Boston College
23,UTA,Kosta Koufos,Ohio State,11,686,11271,3913,3452,359,0.534,0,0.582,16.4,5.7,5,0.5,12,Kosta Koufos,C,"Canton, OHGlenOak High School",7'1'',250,,97,Ohio State
35,LAC,DeAndre Jordan,Texas A&M,15,1008,26587,9063,10285,954,0.674,0.154,0.475,26.4,9,10.2,0.9,25,DeAndre Jordan,C,"Houston, TXHouston Christian High School",7'0'',240,,97,Texas A&M
1,LAC,Blake Griffin,Oklahoma,13,741,24059,14424,6016,3014,0.493,0.327,0.696,32.5,19.5,8.1,4.1,18,Blake Griffin,PF,"Oklahoma City, OKOklahoma Christian School",6'9'',230,,97,Oklahoma
3,OKC,James Harden,Arizona State,14,967,33547,24021,5456,6672,0.442,0.362,0.86,34.7,24.8,5.6,6.9,21,James Harden,SG,"Lakewood, CAArtesia High School",6'5'',190,,97,Arizona St
4,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,0.44,0.323,0.757,30.7,15.7,4.6,4.8,3,Tyreke Evans,SG,"Aston, PAAmerican Christian High School",6'5'',195,,98,Memphis
6,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,23,Jonny Flynn,PG,"Niagara Falls, NYNiagara Falls High",6'0'',170,,97,Syracuse
10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,0.387,0.345,0.796,30.3,14.1,3,5.7,1,Brandon Jennings,PG,"Los Angeles, CAOak Hill Academy",6'2'',165,,99,List
15,DET,Austin Daye,Gonzaga,6,293,4132,1522,764,212,0.402,0.351,0.778,14.1,5.2,2.6,0.7,27,Austin Daye,SF,"Irvine, CAWoodbridge High School",6'9'',180,,97,Gonzaga
16,CHI,James Johnson,Wake Forest,14,756,15386,5778,2684,1588,0.474,0.301,0.679,20.4,7.6,3.6,2.1,50,James Johnson,SF,"Cheyenne, WYEast High School",6'8'',225,,96,Wake Forest
16,CHI,James Johnson,Wake Forest,14,756,15386,5778,2684,1588,0.474,0.301,0.679,20.4,7.6,3.6,2.1,92,James Johnson,PF,"Wildomar, CAElsinore High School",6'9'',212,four,93,Virginia
17,PHI,Jrue Holiday,UCLA,14,868,28749,14110,3506,5580,0.46,0.364,0.78,33.1,16.3,4,6.4,4,Jrue Holiday,SG,"North Hollywood, CACampbell Hall High School",6'3'',180,,98,UCLA
19,ATL,Jeff Teague,Wake Forest,12,826,22164,10061,1989,4585,0.444,0.36,0.844,26.8,12.2,2.4,5.6,67,Jeff Teague,PG,"Indianapolis, INPike High School",6'1'',165,,95,Wake Forest
37,SAS,DeJuan Blair,Pitt,7,424,7054,2865,2153,349,0.524,0,0.608,16.6,6.8,5.1,0.8,30,DeJuan Blair,C,"Pittsburgh, PASchenley High School",6'7'',250,,97,Pittsburgh
45,MIN,Nick Calathes,Florida,2,129,2011,590,243,353,0.441,0.288,0.581,15.6,4.6,1.9,2.7,10,Nick Calathes,SG,"Winter Park, FLLake Howell High School",6'5'',185,,97,Florida
1,WAS,John Wall,Kentucky,11,646,22558,12072,2697,5731,0.43,0.322,0.776,34.9,18.7,4.2,8.9,5,John Wall,PG,"Raleigh, NCWord of God Christian Academy",6'3'',180,,98,Kentucky
2,PHI,Evan Turner,Ohio State,10,705,18938,6824,3278,2462,0.434,0.294,0.782,26.9,9.7,4.6,3.5,49,Evan Turner,SF,"Westchester, ILSaint Joseph High School",6'6'',185,,96,Ohio State
3,NJN,Derrick Favors,Georgia Tech,12,790,19202,8354,5608,851,0.534,0.198,0.663,24.3,10.6,7.1,1.1,2,Derrick Favors,PF,"Atlanta, GASouth Atlanta High School",6'9'',220,,98,Georgia Tech
5,SAC,DeMarcus Cousins,Kentucky,11,654,19509,12802,6664,1979,0.46,0.331,0.737,29.8,19.6,10.2,3,4,DeMarcus Cousins,C,"Mobile, ALLeFlore Magnet High School",6'9'',260,,98,Kentucky
7,DET,Greg Monroe,Georgetown,10,646,17670,8402,5293,1376,0.514,0.059,0.703,27.4,13,8.2,2.1,20,Greg Monroe,PF,"Gretna, LAHelen Cox High School",6'10'',226,,96,Georgetown
8,LAC,Al-Farouq Aminu,Wake Forest,11,711,17698,5350,4280,879,0.42,0.332,0.746,24.9,7.5,6,1.2,17,Al-Farouq Aminu,SF,"Norcross, GANorcross High School",6'9'',215,,96,Wake Forest
11,NOH,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,0.527,,0.738,10,3.1,3.3,0.5,13,Cole Aldrich,C,"Bloomington, MNJefferson High School",6'10'',245,,97,Kansas
12,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,3,Xavier Henry,SG,"Oklahoma City, OKPutnam City High School",6'6'',225,,98,Kansas
